iter	Accuracy	MultiClass
275	0.5288461538	1.34020491
276	0.5288461538	1.339994846
277	0.5288461538	1.339945181
278	0.5288461538	1.339727724
279	0.5288461538	1.339554509
280	0.5288461538	1.339504251
281	0.5288461538	1.339470749
282	0.5288461538	1.339273661
283	0.5288461538	1.339226626
284	0.5288461538	1.339029761
285	0.5288461538	1.338909092
286	0.5288461538	1.338777715
287	0.5288461538	1.338557523
288	0.5288461538	1.338348759
289	0.5288461538	1.338299827
290	0.5288461538	1.338093042
291	0.5288461538	1.337942505
292	0.5288461538	1.33773171
293	0.5288461538	1.337608478
294	0.5288461538	1.337600818
295	0.5288461538	1.337392859
296	0.5288461538	1.337345819
297	0.5288461538	1.33712689
298	0.5288461538	1.336923791
299	0.5288461538	1.336872722
300	0.5288461538	1.33673314
301	0.5288461538	1.336523112
302	0.5288461538	1.336348173
303	0.5288461538	1.336206045
304	0.5288461538	1.335991566
305	0.5288461538	1.335919433
306	0.5288461538	1.335717172
307	0.5288461538	1.335668131
308	0.5288461538	1.335523096
309	0.5288461538	1.335410303
310	0.5288461538	1.335198638
311	0.5288461538	1.335004574
312	0.5288461538	1.334866033
313	0.5288461538	1.334648895
314	0.5288461538	1.334448912
315	0.5288461538	1.334319119
316	0.5288461538	1.334221313
317	0.5288461538	1.334077431
318	0.5288461538	1.333877726
319	0.5288461538	1.333659714
320	0.5288461538	1.33350958
321	0.5288461538	1.333484053
322	0.5288461538	1.33327901
323	0.5288461538	1.333220576
324	0.5288461538	1.333020517
325	0.5288461538	1.333003112
326	0.5288461538	1.332934588
327	0.5288461538	1.332722521
328	0.5288461538	1.332576911
329	0.5288461538	1.332365901
330	0.5288461538	1.332175536
331	0.5288461538	1.331968865
332	0.5288461538	1.331762389
333	0.5288461538	1.331615513
334	0.5288461538	1.331471924
335	0.5288461538	1.331332693
336	0.5288461538	1.331195297
337	0.5288461538	1.330980754
338	0.5288461538	1.330781454
339	0.5288461538	1.330633865
340	0.5288461538	1.330486416
341	0.5288461538	1.330287376
342	0.5288461538	1.330089149
343	0.5288461538	1.32987384
344	0.5288461538	1.329667498
345	0.5288461538	1.329558673
346	0.5288461538	1.329422218
347	0.5288461538	1.329410514
348	0.5288461538	1.32933875
349	0.5288461538	1.329223079
350	0.5288461538	1.329013484
351	0.5288461538	1.328972587
352	0.5288461538	1.328834806
353	0.5288461538	1.328630231
354	0.5288461538	1.328542831
355	0.5288461538	1.328375896
356	0.5288461538	1.328186303
357	0.5288461538	1.327981051
358	0.5288461538	1.327949766
359	0.5288461538	1.327839284
360	0.5288461538	1.327641439
361	0.5288461538	1.327482895
362	0.5288461538	1.327424402
363	0.5288461538	1.32739953
364	0.5288461538	1.327284052
365	0.5288461538	1.327238666
366	0.5288461538	1.327041233
367	0.5288461538	1.327025602
368	0.5288461538	1.326813947
369	0.5288461538	1.326608886
370	0.5288461538	1.326479229
371	0.5288461538	1.326450992
372	0.5288461538	1.326380338
373	0.5288461538	1.326184089
374	0.5288461538	1.325989721
375	0.5288461538	1.325831489
376	0.5288461538	1.325620717
377	0.5288461538	1.325410192
378	0.5288461538	1.325259939
379	0.5288461538	1.325196915
380	0.5288461538	1.325184831
381	0.5288461538	1.324996928
382	0.5288461538	1.324832268
383	0.5288461538	1.324723332
384	0.5288461538	1.324586731
385	0.5288461538	1.324376983
386	0.5288461538	1.324190356
387	0.5288461538	1.323986416
388	0.5288461538	1.323777201
389	0.5288461538	1.32356818
390	0.5288461538	1.323365718
391	0.5288461538	1.323203454
392	0.5288461538	1.323007118
393	0.5288461538	1.322842645
394	0.5288461538	1.322808126
395	0.5288461538	1.322697497
396	0.5288461538	1.322641103
397	0.5288461538	1.322609619
398	0.5288461538	1.322401453
399	0.5288461538	1.322392179
400	0.5288461538	1.322194978
401	0.5288461538	1.321985766
402	0.5288461538	1.321929115
403	0.5288461538	1.32178425
404	0.5288461538	1.321672923
405	0.5288461538	1.321487615
406	0.5288461538	1.321348938
407	0.5288461538	1.321148106
408	0.5288461538	1.320971054
409	0.5288461538	1.32078602
410	0.5288461538	1.320727314
411	0.5288461538	1.320531263
412	0.5288461538	1.320333038
413	0.5288461538	1.320132092
414	0.5288461538	1.319942376
415	0.5288461538	1.319766547
416	0.5288461538	1.319628312
417	0.5288461538	1.319521899
418	0.5288461538	1.319513355
419	0.5288461538	1.319381562
420	0.5288461538	1.319377706
421	0.5288461538	1.319217067
422	0.5288461538	1.319089236
423	0.5288461538	1.318883589
424	0.5288461538	1.318752109
425	0.5288461538	1.318617282
426	0.5288461538	1.318558363
427	0.5288461538	1.318366983
428	0.5288461538	1.318315295
429	0.5288461538	1.318175029
430	0.5288461538	1.317982037
431	0.5288461538	1.317914828
432	0.5288461538	1.317889817
433	0.5288461538	1.317728902
434	0.5288461538	1.317711357
435	0.5288461538	1.317536633
436	0.5288461538	1.31734031
437	0.5288461538	1.317140258
438	0.5288461538	1.317100357
439	0.5288461538	1.316902639
440	0.5288461538	1.316735775
441	0.5288461538	1.316627058
442	0.5288461538	1.316505197
443	0.5288461538	1.316398786
444	0.5288461538	1.316224527
445	0.5288461538	1.316036459
446	0.5288461538	1.315837328
447	0.5288461538	1.315696016
448	0.5288461538	1.315685648
449	0.5288461538	1.31548596
450	0.5288461538	1.315288192
451	0.5288461538	1.31508963
452	0.5288461538	1.314898826
453	0.5288461538	1.314891525
454	0.5288461538	1.314756691
455	0.5288461538	1.314599376
456	0.5288461538	1.31446587
457	0.5288461538	1.314358873
458	0.5336538462	1.31426711
459	0.5288461538	1.314079436
460	0.5336538462	1.314055722
461	0.5336538462	1.313857995
462	0.5336538462	1.3138422
463	0.5336538462	1.313782511
464	0.5336538462	1.313772383
465	0.5336538462	1.313655151
466	0.5336538462	1.313557878
467	0.5336538462	1.313372289
468	0.5336538462	1.313238029
469	0.5336538462	1.313050177
470	0.5336538462	1.313018266
471	0.5336538462	1.312958441
472	0.5336538462	1.312824378
473	0.5336538462	1.312809156
474	0.5336538462	1.312781886
475	0.5336538462	1.312711967
476	0.5336538462	1.312667113
477	0.5336538462	1.312627846
478	0.5336538462	1.312490788
479	0.5336538462	1.312311225
480	0.5336538462	1.312171424
481	0.5336538462	1.312065423
482	0.5336538462	1.311867935
483	0.5336538462	1.311672367
484	0.5336538462	1.311642448
485	0.5336538462	1.311445322
486	0.5336538462	1.31143307
487	0.5336538462	1.311426358
488	0.5336538462	1.311234167
489	0.5336538462	1.311087933
490	0.5336538462	1.31099079
491	0.5336538462	1.310794157
492	0.5336538462	1.310644828
493	0.5336538462	1.310570831
494	0.5336538462	1.310375343
495	0.5336538462	1.310281562
496	0.5336538462	1.310170976
497	0.5336538462	1.309978225
498	0.5336538462	1.309921281
499	0.5336538462	1.309726203
